,mean,std
mlp_deepset_spa_pos,-0.01334635416666674,0.018295892573432792
mlp_deepset_spa_center,0.06184895833333326,0.02596832119163953
mlp_deepset_geo,0.08821614583333326,0.0294753677202863
mlp_deepset_tem,0.05143229166666652,0.04739207717487866
mlp_deepset_pup,0.26595052083333326,0.04301681142607999
z_mean_spa_pos,-0.0390625,0.01089401076216245
z_mean_spa_center,0.04817708333333337,0.015570652009246611
z_mean_geo,0.140625,0.037512657007520676
z_mean_tem,0.01432291666666674,0.03957990664992361
z_mean_pup,0.16569010416666663,0.033777394420835334
