experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc,best_epoch,epochs_trained,stopping_reason,stage
EXP-PROP-001,proposal,1234,Set_0,0.9974747474747474,0.975,0.9545454545454546,1.0,0.9767441860465117,0.9772727272727273,11.0,42.0,early_stopping,
EXP-PROP-001,proposal,1234,Set_1,0.9140625,0.825,0.875,0.7916666666666666,0.7999999999999999,0.8333333333333333,32.0,63.0,early_stopping,
EXP-PROP-001,proposal,1234,Set_2,0.99,0.875,0.75,1.0,0.8571428571428571,0.875,29.0,60.0,early_stopping,
EXP-PROP-001,proposal,1234,Set_3,0.9646464646464648,0.925,0.9090909090909091,0.9444444444444444,0.9302325581395349,0.9267676767676767,44.0,75.0,early_stopping,
EXP-PROP-001,proposal,100,Set_0,0.9671717171717172,0.85,0.9090909090909091,0.7777777777777778,0.8695652173913043,0.8434343434343434,6.0,37.0,early_stopping,
EXP-PROP-001,proposal,100,Set_1,0.9427083333333333,0.775,0.5625,0.9166666666666666,0.6666666666666666,0.7395833333333333,24.0,55.0,early_stopping,
EXP-PROP-001,proposal,100,Set_2,1.0,0.975,1.0,0.95,0.975609756097561,0.975,54.0,85.0,early_stopping,
EXP-PROP-001,proposal,100,Set_3,0.9368686868686869,0.825,0.6818181818181818,1.0,0.8108108108108109,0.8409090909090908,26.0,57.0,early_stopping,
EXP-PROP-001,proposal,0,Set_0,0.9722222222222223,0.875,0.9090909090909091,0.8333333333333334,0.888888888888889,0.8712121212121212,10.0,41.0,early_stopping,
EXP-PROP-001,proposal,0,Set_1,0.8515625,0.75,0.625,0.8333333333333334,0.6666666666666666,0.7291666666666667,35.0,66.0,early_stopping,
EXP-PROP-001,proposal,0,Set_2,0.9924999999999999,0.875,0.75,1.0,0.8571428571428571,0.875,37.0,68.0,early_stopping,
EXP-PROP-001,proposal,0,Set_3,0.98989898989899,0.925,0.9545454545454546,0.8888888888888888,0.9333333333333332,0.9217171717171717,55.0,86.0,early_stopping,
EXP-PROP-001,proposal,2024,Set_0,0.9898989898989898,0.725,1.0,0.3888888888888889,0.8,0.6944444444444444,25.0,56.0,early_stopping,
EXP-PROP-001,proposal,2024,Set_1,0.8984375,0.9,0.8125,0.9583333333333334,0.8666666666666666,0.8854166666666667,24.0,55.0,early_stopping,
EXP-PROP-001,proposal,2024,Set_2,0.9925,0.95,1.0,0.9,0.9523809523809523,0.95,51.0,82.0,early_stopping,
EXP-PROP-001,proposal,2024,Set_3,0.9116161616161617,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253,19.0,50.0,early_stopping,
EXP-PROP-001,proposal,42,Set_0,0.9444444444444444,0.825,0.7272727272727273,0.9444444444444444,0.8205128205128205,0.8358585858585859,5.0,36.0,early_stopping,
EXP-PROP-001,proposal,42,Set_1,0.8645833333333333,0.775,0.6875,0.8333333333333334,0.7096774193548386,0.7604166666666667,4.0,35.0,early_stopping,
EXP-PROP-001,proposal,42,Set_2,0.98,0.9,0.95,0.85,0.9047619047619048,0.8999999999999999,3.0,34.0,early_stopping,
EXP-PROP-001,proposal,42,Set_3,0.9217171717171717,0.75,0.5454545454545454,1.0,0.7058823529411764,0.7727272727272727,9.0,40.0,early_stopping,
EXP-PROP-001,proposal,3,Set_0,0.9722222222222222,0.875,0.8181818181818182,0.9444444444444444,0.8780487804878049,0.8813131313131313,33.0,64.0,early_stopping,
EXP-PROP-001,proposal,3,Set_1,0.8802083333333334,0.875,0.8125,0.9166666666666666,0.8387096774193549,0.8645833333333333,5.0,36.0,early_stopping,
EXP-PROP-001,proposal,3,Set_2,0.9775,0.825,0.95,0.7,0.8444444444444444,0.825,9.0,40.0,early_stopping,
EXP-PROP-001,proposal,3,Set_3,0.9242424242424243,0.825,0.8181818181818182,0.8333333333333334,0.8372093023255814,0.8257575757575758,35.0,66.0,early_stopping,
EXP-PROP-001,proposal,123,Set_0,0.9671717171717171,0.85,0.7727272727272727,0.9444444444444444,0.85,0.8585858585858586,17.0,48.0,early_stopping,
EXP-PROP-001,proposal,123,Set_1,0.8932291666666666,0.8,0.875,0.75,0.7777777777777777,0.8125,18.0,49.0,early_stopping,
EXP-PROP-001,proposal,123,Set_2,0.9750000000000001,0.925,0.85,1.0,0.9189189189189189,0.925,47.0,78.0,early_stopping,
EXP-PROP-001,proposal,123,Set_3,0.8888888888888888,0.8,0.8181818181818182,0.7777777777777778,0.8181818181818182,0.797979797979798,8.0,39.0,early_stopping,
EXP-PROP-001,proposal,13,Set_0,0.9292929292929294,0.85,0.9545454545454546,0.7222222222222222,0.875,0.8383838383838385,10.0,41.0,early_stopping,
EXP-PROP-001,proposal,13,Set_1,0.8776041666666666,0.8,0.75,0.8333333333333334,0.75,0.7916666666666667,15.0,46.0,early_stopping,
EXP-PROP-001,proposal,13,Set_2,1.0,0.925,1.0,0.85,0.9302325581395349,0.925,50.0,81.0,early_stopping,
EXP-PROP-001,proposal,13,Set_3,0.9040404040404041,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253,36.0,67.0,early_stopping,
EXP-PROP-001,proposal,64,Set_0,0.9520202020202021,0.9,0.8636363636363636,0.9444444444444444,0.9047619047619048,0.904040404040404,25.0,56.0,early_stopping,
EXP-PROP-001,proposal,64,Set_1,0.8463541666666667,0.75,0.5,0.9166666666666666,0.6153846153846154,0.7083333333333333,5.0,36.0,early_stopping,
EXP-PROP-001,proposal,64,Set_2,0.9750000000000001,0.9,0.95,0.85,0.9047619047619048,0.8999999999999999,8.0,39.0,early_stopping,
EXP-PROP-001,proposal,64,Set_3,0.9318181818181819,0.85,0.7727272727272727,0.9444444444444444,0.85,0.8585858585858586,27.0,58.0,early_stopping,
EXP-PROP-001,proposal,2026,Set_0,0.9696969696969697,0.9,0.8636363636363636,0.9444444444444444,0.9047619047619048,0.904040404040404,7.0,38.0,early_stopping,
EXP-PROP-001,proposal,2026,Set_1,0.8776041666666666,0.825,0.8125,0.8333333333333334,0.787878787878788,0.8229166666666667,4.0,35.0,early_stopping,
EXP-PROP-001,proposal,2026,Set_2,0.9750000000000001,0.9,0.95,0.85,0.9047619047619048,0.8999999999999999,5.0,36.0,early_stopping,
EXP-PROP-001,proposal,2026,Set_3,0.8737373737373737,0.775,0.6363636363636364,0.9444444444444444,0.7567567567567568,0.7904040404040404,2.0,33.0,early_stopping,
EXP-PROP-002,proposal,1234,Set_0,0.9949494949494949,0.875,1.0,0.7222222222222222,0.8979591836734693,0.8611111111111112,17.0,48.0,early_stopping,
EXP-PROP-002,proposal,1234,Set_1,0.9088541666666666,0.75,0.625,0.8333333333333334,0.6666666666666666,0.7291666666666667,19.0,50.0,early_stopping,
EXP-PROP-002,proposal,1234,Set_2,0.9750000000000001,0.925,0.85,1.0,0.9189189189189189,0.925,4.0,35.0,early_stopping,
EXP-PROP-002,proposal,1234,Set_3,0.9191919191919192,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485,20.0,51.0,early_stopping,
EXP-PROP-002,proposal,100,Set_0,0.9747474747474749,0.85,1.0,0.6666666666666666,0.88,0.8333333333333333,22.0,53.0,early_stopping,
EXP-PROP-002,proposal,100,Set_1,0.8932291666666666,0.825,0.9375,0.75,0.8108108108108109,0.84375,5.0,36.0,early_stopping,
EXP-PROP-002,proposal,100,Set_2,0.97,0.925,1.0,0.85,0.9302325581395349,0.925,7.0,38.0,early_stopping,
EXP-PROP-002,proposal,100,Set_3,0.8863636363636365,0.775,0.8181818181818182,0.7222222222222222,0.8,0.7702020202020202,23.0,54.0,early_stopping,
EXP-PROP-002,proposal,0,Set_0,0.9797979797979799,0.85,0.7272727272727273,1.0,0.8421052631578948,0.8636363636363636,51.0,82.0,early_stopping,
EXP-PROP-002,proposal,0,Set_1,0.9036458333333334,0.775,0.625,0.875,0.6896551724137931,0.75,9.0,40.0,early_stopping,
EXP-PROP-002,proposal,0,Set_2,0.9724999999999999,0.925,0.85,1.0,0.9189189189189189,0.925,2.0,33.0,early_stopping,
EXP-PROP-002,proposal,0,Set_3,0.9191919191919192,0.8,0.7727272727272727,0.8333333333333334,0.8095238095238095,0.803030303030303,30.0,61.0,early_stopping,
EXP-PROP-002,proposal,2024,Set_0,0.9772727272727273,0.9,0.9545454545454546,0.8333333333333334,0.9130434782608695,0.893939393939394,13.0,44.0,early_stopping,
