experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc
EXP-PROP-001,proposal,1234,Set_0,0.9292929292929293,0.775,0.9090909090909091,0.6111111111111112,0.8163265306122449,0.7601010101010102
EXP-PROP-001,proposal,1234,Set_1,0.8645833333333334,0.85,0.8125,0.875,0.8125,0.84375
EXP-PROP-001,proposal,1234,Set_2,0.94,0.875,0.9,0.85,0.8780487804878048,0.875
EXP-PROP-001,proposal,1234,Set_3,0.9116161616161617,0.825,0.8636363636363636,0.7777777777777778,0.8444444444444444,0.8207070707070707
EXP-PROP-001,proposal,100,Set_0,0.8484848484848485,0.775,0.9545454545454546,0.5555555555555556,0.823529411764706,0.7550505050505051
EXP-PROP-001,proposal,100,Set_1,0.765625,0.7,0.6875,0.7083333333333334,0.6470588235294118,0.6979166666666667
EXP-PROP-001,proposal,100,Set_2,0.9925,0.95,1.0,0.9,0.9523809523809523,0.95
EXP-PROP-001,proposal,100,Set_3,0.8409090909090909,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
EXP-PROP-001,proposal,0,Set_0,0.9671717171717172,0.875,0.8636363636363636,0.8888888888888888,0.8837209302325582,0.8762626262626263
EXP-PROP-001,proposal,0,Set_1,0.8307291666666666,0.65,1.0,0.4166666666666667,0.6956521739130436,0.7083333333333334
EXP-PROP-001,proposal,0,Set_2,0.975,0.85,1.0,0.7,0.8695652173913044,0.85
EXP-PROP-001,proposal,0,Set_3,0.9545454545454546,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485
EXP-PROP-001,proposal,2024,Set_0,0.952020202020202,0.9,0.8636363636363636,0.9444444444444444,0.9047619047619048,0.904040404040404
EXP-PROP-001,proposal,2024,Set_1,0.828125,0.8,0.8125,0.7916666666666666,0.7647058823529411,0.8020833333333333
EXP-PROP-001,proposal,2024,Set_2,0.9750000000000001,0.875,1.0,0.75,0.888888888888889,0.875
EXP-PROP-001,proposal,2024,Set_3,0.8964646464646465,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485
EXP-PROP-001,proposal,42,Set_0,0.9292929292929293,0.8,0.8181818181818182,0.7777777777777778,0.8181818181818182,0.797979797979798
EXP-PROP-001,proposal,42,Set_1,0.8385416666666667,0.775,0.8125,0.75,0.742857142857143,0.78125
EXP-PROP-001,proposal,42,Set_2,0.9725,0.925,0.95,0.9,0.9268292682926829,0.925
EXP-PROP-001,proposal,42,Set_3,0.8686868686868687,0.8,0.6818181818181818,0.9444444444444444,0.7894736842105263,0.8131313131313131
EXP-PROP-001,proposal,3,Set_0,0.9318181818181819,0.875,0.9090909090909091,0.8333333333333334,0.888888888888889,0.8712121212121212
EXP-PROP-001,proposal,3,Set_1,0.8020833333333333,0.75,0.6875,0.7916666666666666,0.6875,0.7395833333333333
EXP-PROP-001,proposal,3,Set_2,0.9450000000000001,0.825,1.0,0.65,0.851063829787234,0.825
EXP-PROP-001,proposal,3,Set_3,0.8712121212121212,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253
EXP-PROP-001,proposal,123,Set_0,0.946969696969697,0.85,0.8181818181818182,0.8888888888888888,0.8571428571428572,0.8535353535353536
EXP-PROP-001,proposal,123,Set_1,0.7760416666666667,0.775,0.875,0.7083333333333334,0.7567567567567567,0.7916666666666667
EXP-PROP-001,proposal,123,Set_2,0.9125000000000001,0.775,0.9,0.65,0.7999999999999999,0.775
EXP-PROP-001,proposal,123,Set_3,0.8560606060606061,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253
EXP-PROP-001,proposal,13,Set_0,0.8914141414141414,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8080808080808081
EXP-PROP-001,proposal,13,Set_1,0.7864583333333333,0.75,0.5625,0.875,0.6428571428571429,0.71875
EXP-PROP-001,proposal,13,Set_2,0.9974999999999999,0.95,0.95,0.95,0.9500000000000001,0.95
