experiment,auc_mean,auc_sd,delta_vs_msnet_pp_auc,acc_mean,acc_sd,delta_vs_msnet_pp_acc,sen_mean,sen_sd,delta_vs_msnet_pp_sen,spec_mean,spec_sd,delta_vs_msnet_pp_spec,f1_mean,f1_sd,delta_vs_msnet_pp_f1,n_seeds_beats_msnet_auc,n_seeds_beats_msnet_acc,n_seeds_beats_msnet_sen,n_seeds_beats_msnet_spec,n_seeds_beats_all4
EXP-PROP-001,0.9403236268939393,0.015636266743679968,4.312362689393934,0.849375,0.02193938936150128,1.8074999999999952,0.8229261363636364,0.05150018756875183,1.7826136363636391,0.8716666666666667,0.05661016760986983,0.08666666666666822,0.8380418080136394,0.026630352533380214,1.3641808013639345,10,9,7,6,3
EXP-PROP-002,0.938284485479798,0.006417495687471185,4.108448547979804,0.8375,0.02104063528825434,0.6199999999999983,0.8223863636363637,0.07823675432182493,1.728636363636371,0.8479861111111111,0.07961916517158432,-2.281388888888891,0.8270839218143655,0.028467774718204497,0.26839218143654975,10,6,6,3,0
EXP-PROP-005,0.9304292140151513,0.015566112662087453,3.322921401515133,0.8318749999999999,0.02832873737234174,0.057499999999988116,0.8102840909090909,0.044767695712764476,0.5184090909090888,0.8534027777777778,0.05866350015128659,-1.7397222222222175,0.8185121039201748,0.03398217328170182,-0.5887896079825206,10,6,6,4,1
EXP-PROP-003,0.9298905460858586,0.007658489622381328,3.269054608585864,0.821875,0.026062491673326672,-0.9425000000000017,0.8027840909090909,0.04762999646610193,-0.2315909090909174,0.8398611111111112,0.05997666870335258,-3.093888888888885,0.8080435585706487,0.028398530203138785,-1.6356441429351332,10,3,4,4,1
fnn,0.9175615530303031,0.00815598395960559,2.036155303030307,0.834375,0.010311973892303808,0.3074999999999939,0.8419318181818183,0.03233293484034918,3.6831818181818243,0.8263194444444444,0.029176677441336174,-4.448055555555563,0.8328781098175234,0.013682287551094614,0.8478109817523394,10,4,8,0,0
EXP-PROP-004,0.9073426452020202,0.003964158739807684,1.014264520202024,0.809375,0.013581671677505529,-2.1925000000000083,0.8165340909090908,0.02751099360771519,1.1434090909090755,0.8057638888888888,0.031994810669981416,-6.503611111111118,0.8047945198056381,0.011470593635613882,-1.9605480194361924,10,0,7,0,0
fnn_cat,0.9049214015151514,0.005931939881397975,0.7721401515151438,0.8124999999999998,0.024650332429581746,-1.880000000000026,0.7819318181818182,0.03331562675376717,-2.316818181818181,0.8416666666666666,0.05005997774412319,-2.9133333333333455,0.7989099297316213,0.022791576418052437,-2.5490070268378684,10,2,3,1,0
svm_rbf,0.8792960858585859,0.0,-1.7903914141414123,0.8012499999999999,0.005743353646704286,-3.005000000000013,0.8167613636363636,0.010442461175825916,1.1661363636363609,0.7819444444444443,1.1702778228589004e-16,-8.88555555555557,0.8031820075025827,0.005895660555687451,-2.1217992497417293,0,0,7,0,0
lr,0.871066130050505,0.0,-2.613386994949496,0.80625,0.0,-2.5050000000000017,0.8133522727272726,1.1702778228589004e-16,0.825227272727258,0.8,0.0,-7.079999999999997,0.8074316225345974,0.0,-1.6968377465402584,0,0,10,0,0
rf,0.8580980113636365,0.0038156147637889593,-3.9101988636363494,0.80625,0.01020620726159657,-2.5050000000000017,0.7853693181818182,0.015445334125442425,-1.9730681818181828,0.8190972222222221,0.010228495877447065,-5.1702777777777875,0.7993019379152321,0.011989374986184027,-2.5098062084767947,0,0,1,0,0
qda,0.8228637941919192,0.0,-7.433620580808076,0.7125000000000001,1.1702778228589004e-16,-11.87999999999999,0.749431818181818,1.1702778228589004e-16,-5.566818181818201,0.6847222222222221,1.1702778228589004e-16,-18.60777777777779,0.7224681020733652,0.0,-10.193189792663482,0,0,0,0,0
svm_linear,0.8188849431818183,9.981937058612593e-05,-7.831505681818173,0.746875,0.006073908223797166,-8.442500000000008,0.7472727272727273,0.00819793586419318,-5.782727272727273,0.7501388888888889,0.014231123034595264,-12.06611111111111,0.746259589045364,0.00535243188423401,-7.8140410954635975,0,0,0,0,0
knn,0.8120273042929294,0.0,-8.517269570707064,0.73125,0.0,-10.005000000000008,0.6892045454545455,0.0,-11.589545454545458,0.7729166666666668,1.1702778228589004e-16,-9.788333333333322,0.7078318807501102,1.1702778228589004e-16,-11.656811924988986,0,0,0,0,0
gnb,0.7913446969696969,1.1702778228589004e-16,-10.58553030303031,0.7125000000000001,1.1702778228589004e-16,-11.87999999999999,0.6264204545454547,1.1702778228589004e-16,-17.867954545454534,0.78125,0.0,-8.955000000000002,0.6755688380688379,1.1702778228589004e-16,-14.883116193116209,0,0,0,0,0
lr_l1,0.7359841382575757,0.0034515248951400733,-16.12158617424243,0.68625,0.007095577652469356,-14.505,0.6982386363636364,0.011173279362710483,-10.686136363636367,0.6759722222222222,0.009876422645869075,-19.482777777777784,0.679686203451508,0.006809633122425924,-14.471379654849203,0,0,0,0,0
