id,status,started,finished,duration_s,exit
svm_rbf-s42,completed,2026-09-23T01:55:57,2026-09-23T01:56:01,4.6,0
fnn-s42,completed,2026-09-23T01:58:17,2026-09-23T01:58:30,12.9,0
EXP-PROP-001-s42,completed,2026-09-23T01:43:52,2026-09-23T01:45:28,95.9,0
EXP-PROP-005-s42,completed,2026-09-23T01:52:19,2026-09-23T01:54:41,142.4,0
EXP-PROP-001-s64,completed,2026-09-23T01:45:28,2026-09-23T01:47:27,119.4,0
EXP-PROP-001-s3,completed,2026-09-23T01:43:52,2026-09-23T01:46:03,131.4,0
EXP-PROP-001-s123,completed,2026-09-23T01:43:52,2026-09-23T01:46:07,134.5,0
EXP-PROP-001-s100,completed,2026-09-23T01:43:52,2026-09-23T01:46:20,148.0,0
EXP-PROP-001-s1234,completed,2026-09-23T01:43:52,2026-09-23T01:46:21,148.9,0
EXP-PROP-001-s13,completed,2026-09-23T01:43:52,2026-09-23T01:46:21,149.0,0
EXP-PROP-001-s2024,completed,2026-09-23T01:43:52,2026-09-23T01:46:24,151.7,0
EXP-PROP-001-s0,completed,2026-09-23T01:43:52,2026-09-23T01:46:37,164.8,0
EXP-PROP-001-s2026,completed,2026-09-23T01:46:03,2026-09-23T01:47:34,90.8,0
EXP-PROP-002-s1234,completed,2026-09-23T01:46:07,2026-09-23T01:48:01,114.5,0
EXP-PROP-002-s100,completed,2026-09-23T01:46:20,2026-09-23T01:48:02,102.4,0
EXP-PROP-002-s123,completed,2026-09-23T01:48:24,2026-09-23T01:50:00,96.1,0
EXP-PROP-002-s2024,completed,2026-09-23T01:46:21,2026-09-23T01:47:59,97.5,0
EXP-PROP-002-s0,completed,2026-09-23T01:46:21,2026-09-23T01:48:24,122.6,0
EXP-PROP-002-s42,completed,2026-09-23T01:46:24,2026-09-23T01:48:22,118.6,0
EXP-PROP-002-s3,completed,2026-09-23T01:46:37,2026-09-23T01:48:21,104.2,0
EXP-PROP-003-s0,completed,2026-09-23T01:48:24,2026-09-23T01:50:03,99.6,0
EXP-PROP-003-s2024,completed,2026-09-23T01:48:24,2026-09-23T01:50:04,100.8,0
EXP-PROP-002-s64,completed,2026-09-23T01:48:24,2026-09-23T01:50:12,108.8,0
EXP-PROP-003-s1234,completed,2026-09-23T01:48:24,2026-09-23T01:50:13,109.5,0
EXP-PROP-003-s100,completed,2026-09-23T01:48:24,2026-09-23T01:50:22,118.0,0
EXP-PROP-003-s42,completed,2026-09-23T01:50:00,2026-09-23T01:51:44,104.2,0
EXP-PROP-004-s1234,completed,2026-09-23T01:50:39,2026-09-23T01:50:54,14.4,0
EXP-PROP-002-s13,completed,2026-09-23T01:48:24,2026-09-23T01:50:39,135.8,0
EXP-PROP-002-s2026,completed,2026-09-23T01:48:24,2026-09-23T01:50:52,147.9,0
EXP-PROP-004-s100,completed,2026-09-23T01:50:52,2026-09-23T01:51:05,13.5,0
EXP-PROP-004-s0,completed,2026-09-23T01:52:03,2026-09-23T01:52:18,14.3,0
EXP-PROP-003-s3,completed,2026-09-23T01:50:03,2026-09-23T01:51:34,90.5,0
EXP-PROP-003-s123,completed,2026-09-23T01:50:04,2026-09-23T01:51:33,88.8,0
EXP-PROP-003-s13,completed,2026-09-23T01:50:12,2026-09-23T01:51:56,103.5,0
EXP-PROP-003-s2026,completed,2026-09-23T01:50:22,2026-09-23T01:52:03,101.7,0
EXP-PROP-003-s64,completed,2026-09-23T01:50:13,2026-09-23T01:51:59,105.4,0
EXP-PROP-004-s13,completed,2026-09-23T01:43:12,2026-09-23T01:43:21,8.4,0
EXP-PROP-004-s64,completed,2026-09-23T01:52:03,2026-09-23T01:52:19,16.0,0
EXP-PROP-004-s3,completed,2026-09-23T01:52:03,2026-09-23T01:52:17,13.6,0
EXP-PROP-004-s2024,completed,2026-09-23T01:52:03,2026-09-23T01:52:19,15.2,0
EXP-PROP-004-s2026,completed,2026-09-23T01:52:03,2026-09-23T01:52:19,15.6,0
EXP-PROP-004-s42,completed,2026-09-23T01:52:03,2026-09-23T01:52:19,15.5,0
EXP-PROP-004-s123,completed,2026-09-23T01:52:03,2026-09-23T01:52:19,15.8,0
EXP-PROP-005-s0,completed,2026-09-23T01:52:18,2026-09-23T01:54:21,123.6,0
EXP-PROP-005-s13,completed,2026-09-23T01:52:19,2026-09-23T01:54:28,128.9,0
EXP-PROP-005-s64,completed,2026-09-23T01:54:21,2026-09-23T01:55:57,95.3,0
EXP-PROP-005-s3,completed,2026-09-23T01:52:19,2026-09-23T01:54:37,137.6,0
EXP-PROP-005-s1234,completed,2026-09-23T01:52:03,2026-09-23T01:54:35,151.5,0
EXP-PROP-005-s123,completed,2026-09-23T01:52:19,2026-09-23T01:54:51,152.2,0
EXP-PROP-005-s100,completed,2026-09-23T01:52:17,2026-09-23T01:54:46,149.3,0
EXP-PROP-005-s2024,completed,2026-09-23T01:52:19,2026-09-23T01:54:52,153.4,0
EXP-PROP-005-s2026,completed,2026-09-23T01:55:57,2026-09-23T01:57:37,100.5,0
svm_rbf-s0,completed,2026-09-23T01:55:57,2026-09-23T01:56:01,4.8,0
svm_rbf-s64,completed,2026-09-23T01:56:01,2026-09-23T01:56:06,5.1,0
svm_rbf-s2024,completed,2026-09-23T01:55:57,2026-09-23T01:56:01,4.8,0
svm_rbf-s3,completed,2026-09-23T01:55:57,2026-09-23T01:56:01,4.7,0
svm_rbf-s13,completed,2026-09-23T01:56:01,2026-09-23T01:56:07,5.6,0
svm_rbf-s1234,completed,2026-09-23T01:55:57,2026-09-23T01:56:01,4.9,0
