experiment,seed,auc,acc,sen,spec,f1,balanced_acc
EXP-PROP-001,0,0.951545928030303,0.85625,0.8096590909090909,0.8888888888888888,0.8365079365079364,0.84927398989899
EXP-PROP-001,3,0.938543244949495,0.85,0.8497159090909091,0.8486111111111111,0.8496030511692965,0.8491635101010101
EXP-PROP-001,13,0.927734375,0.8375,0.8693181818181819,0.7958333333333334,0.8364825581395349,0.8325757575757576
EXP-PROP-001,42,0.9276862373737373,0.8125,0.7275568181818182,0.9069444444444444,0.785208624392685,0.8172506313131314
EXP-PROP-001,64,0.9262981376262627,0.85,0.7715909090909091,0.9138888888888889,0.8187271062271062,0.8427398989898989
EXP-PROP-001,100,0.9616871843434344,0.85625,0.7883522727272727,0.9111111111111111,0.8306631127415857,0.8497316919191918
EXP-PROP-001,123,0.9310724431818181,0.84375,0.8289772727272727,0.8680555555555556,0.8412196287196287,0.8485164141414141
EXP-PROP-001,1234,0.966545928030303,0.9,0.8721590909090909,0.9340277777777777,0.891029900332226,0.9030934343434343
EXP-PROP-001,2024,0.9481131628787879,0.8375,0.8963068181818181,0.75625,0.852436323366556,0.8262784090909091
EXP-PROP-001,2026,0.9240096275252525,0.85,0.815625,0.8930555555555555,0.8385398385398386,0.8543402777777778
EXP-PROP-002,0,0.9437839330808081,0.8375,0.74375,0.9270833333333334,0.8150507910036041,0.8354166666666667
EXP-PROP-002,3,0.9356163194444445,0.79375,0.8482954545454545,0.7145833333333333,0.794621806743687,0.781439393939394
EXP-PROP-002,13,0.9316777146464646,0.825,0.6741477272727272,0.9631944444444445,0.7774122807017544,0.8186710858585858
EXP-PROP-002,42,0.9446788194444444,0.83125,0.8965909090909091,0.7861111111111111,0.8383838383838383,0.8413510101010101
EXP-PROP-002,64,0.9418899936868688,0.81875,0.76875,0.8659722222222221,0.7989045695942247,0.8173611111111111
EXP-PROP-002,100,0.9310850694444445,0.84375,0.9389204545454546,0.7472222222222222,0.8552608422375865,0.8430713383838384
EXP-PROP-002,123,0.933649779040404,0.85625,0.8568181818181818,0.8458333333333333,0.8536424478790505,0.8513257575757576
EXP-PROP-002,1234,0.9494988952020202,0.85,0.834659090909091,0.8472222222222222,0.8367952832238545,0.8409406565656566
EXP-PROP-002,2024,0.9387208017676768,0.8625,0.7934659090909091,0.9201388888888888,0.8467268630312108,0.856802398989899
EXP-PROP-002,2026,0.9322435290404041,0.85625,0.868465909090909,0.8625,0.8540404953448432,0.8654829545454545
EXP-PROP-003,0,0.9224581755050506,0.81875,0.8602272727272727,0.8020833333333333,0.8282762413576367,0.831155303030303
EXP-PROP-003,3,0.931071654040404,0.8125,0.8454545454545455,0.76875,0.8146594982078853,0.8071022727272728
EXP-PROP-003,13,0.9206691919191919,0.84375,0.8,0.8965277777777778,0.8286435786435786,0.8482638888888888
EXP-PROP-003,42,0.9316319444444444,0.81875,0.8028409090909091,0.8201388888888889,0.8028147956097139,0.8114898989898989
EXP-PROP-003,64,0.9335314078282828,0.8125,0.7872159090909091,0.8263888888888888,0.7916500665751041,0.806802398989899
EXP-PROP-003,100,0.9221212121212121,0.80625,0.709375,0.8826388888888889,0.7654651456801649,0.7960069444444444
EXP-PROP-003,123,0.9297364267676769,0.84375,0.790340909090909,0.8881944444444445,0.8235501567398119,0.8392676767676768
EXP-PROP-003,1234,0.9458096590909091,0.875,0.83125,0.9284722222222221,0.8594251336898395,0.8798611111111111
EXP-PROP-003,2024,0.9361300505050505,0.78125,0.8522727272727273,0.7395833333333334,0.7911745827984595,0.7959280303030303
EXP-PROP-003,2026,0.9257457386363637,0.80625,0.7488636363636364,0.8458333333333333,0.7747763864042935,0.7973484848484849
EXP-PROP-004,0,0.9067203282828282,0.8125,0.8227272727272728,0.8041666666666667,0.8096378086118169,0.8134469696969697
EXP-PROP-004,3,0.9055176767676768,0.83125,0.852840909090909,0.8187500000000001,0.8315333626309236,0.8357954545454546
EXP-PROP-004,13,0.9073705808080809,0.78125,0.868465909090909,0.7208333333333333,0.7987012987012987,0.7946496212121212
