experiment,n_seeds,auc,auc_sd,acc,acc_sd,sen,sen_sd,spec,spec_sd,f1,f1_sd,balanced_acc,balanced_acc_sd,pooled_oof_auc,pooled_oof_auc_sd
EXP-PROP-001,10,0.9403236268939393,0.015636266743679968,0.849375,0.02193938936150128,0.8229261363636364,0.05150018756875183,0.8716666666666667,0.05661016760986983,0.8380418080136394,0.026630352533380214,0.8472964015151515,0.02299687049125101,0.9178593750000001,0.02999059911299293
EXP-PROP-002,10,0.938284485479798,0.006417495687471185,0.8375,0.02104063528825434,0.8223863636363637,0.07823675432182493,0.8479861111111111,0.07961916517158432,0.8270839218143655,0.028467774718204497,0.8351862373737374,0.024171121061591593,0.8957499999999999,0.015458803620429373
EXP-PROP-005,10,0.9304292140151513,0.015566112662087453,0.8318749999999999,0.02832873737234174,0.8102840909090909,0.044767695712764476,0.8534027777777778,0.05866350015128659,0.8185121039201748,0.03398217328170182,0.8318434343434344,0.029448844289730033,0.9043749999999999,0.021771456330799032
EXP-PROP-003,10,0.9298905460858586,0.007658489622381328,0.821875,0.026062491673326672,0.8027840909090909,0.04762999646610193,0.8398611111111112,0.05997666870335258,0.8080435585706487,0.028398530203138785,0.821322601010101,0.02777200608336731,0.8789531250000001,0.019157472035971436
fnn,10,0.9175615530303031,0.00815598395960559,0.834375,0.010311973892303808,0.8419318181818183,0.03233293484034918,0.8263194444444444,0.029176677441336174,0.8328781098175234,0.013682287551094614,0.8341256313131312,0.011405844751462613,0.91078125,0.008730136183232083
EXP-PROP-004,10,0.9073426452020202,0.003964158739807684,0.809375,0.013581671677505529,0.8165340909090908,0.02751099360771519,0.8057638888888888,0.031994810669981416,0.8047945198056381,0.011470593635613882,0.8111489898989899,0.011124129300101815,0.8965781249999999,0.005372642611273521
fnn_cat,10,0.9049214015151514,0.005931939881397975,0.8124999999999998,0.024650332429581746,0.7819318181818182,0.03331562675376717,0.8416666666666666,0.05005997774412319,0.7989099297316213,0.022791576418052437,0.8117992424242424,0.02396152873286167,0.8936093749999999,0.01267101975980909
svm_rbf,10,0.8792960858585859,0.0,0.8012499999999999,0.005743353646704286,0.8167613636363636,0.010442461175825916,0.7819444444444443,1.1702778228589004e-16,0.8031820075025827,0.005895660555687451,0.7993529040404039,0.005221230587912956,0.8800312499999998,0.0017176448467143576
lr,10,0.871066130050505,0.0,0.80625,0.0,0.8133522727272726,1.1702778228589004e-16,0.8,0.0,0.8074316225345974,0.0,0.8066761363636363,0.0,0.8699999999999999,1.1702778228589004e-16
rf,10,0.8580980113636365,0.0038156147637889593,0.80625,0.01020620726159657,0.7853693181818182,0.015445334125442425,0.8190972222222221,0.010228495877447065,0.7993019379152321,0.011989374986184027,0.8022332702020203,0.010614859771074188,0.860265625,0.0029610188075175005
qda,10,0.8228637941919192,0.0,0.7125000000000001,1.1702778228589004e-16,0.749431818181818,1.1702778228589004e-16,0.6847222222222221,1.1702778228589004e-16,0.7224681020733652,0.0,0.7170770202020202,0.0,0.8214062499999999,0.0
svm_linear,10,0.8188849431818183,9.981937058612593e-05,0.746875,0.006073908223797166,0.7472727272727273,0.00819793586419318,0.7501388888888889,0.014231123034595264,0.746259589045364,0.00535243188423401,0.748705808080808,0.00665071396460907,0.8170000000000002,0.0020944365582485146
knn,10,0.8120273042929294,0.0,0.73125,0.0,0.6892045454545455,0.0,0.7729166666666668,1.1702778228589004e-16,0.7078318807501102,1.1702778228589004e-16,0.7310606060606062,1.1702778228589004e-16,0.8103906249999999,1.1702778228589004e-16
gnb,10,0.7913446969696969,1.1702778228589004e-16,0.7125000000000001,1.1702778228589004e-16,0.6264204545454547,1.1702778228589004e-16,0.78125,0.0,0.6755688380688379,1.1702778228589004e-16,0.7038352272727273,0.0,0.7914843749999999,1.1702778228589004e-16
lr_l1,10,0.7359841382575757,0.0034515248951400733,0.68625,0.007095577652469356,0.6982386363636364,0.011173279362710483,0.6759722222222222,0.009876422645869075,0.679686203451508,0.006809633122425924,0.6871054292929293,0.0066619740077929635,0.740875,0.0029830612655272043
