subject_id,image,n_fix_clean,n_valid_trans
0,act_001.jpg,19.0,18.0
0,act_002.jpg,17.0,16.0
0,act_003.jpg,18.0,17.0
0,act_004.jpg,16.0,15.0
0,act_005.jpg,17.0,16.0
0,art_006.jpg,14.0,13.0
0,art_007.jpg,16.0,15.0
0,art_008.jpg,18.0,17.0
0,art_009.jpg,15.0,14.0
0,art_010.jpg,16.0,15.0
0,art_011.jpg,16.0,15.0
0,cat_012.jpg,16.0,15.0
0,cat_013.jpg,17.0,16.0
0,cat_014.jpg,18.0,17.0
0,cat_015.jpg,14.0,13.0
0,ind_016.jpg,16.0,15.0
0,ind_017.jpg,19.0,18.0
0,ind_018.jpg,17.0,16.0
0,ind_019.jpg,17.0,16.0
0,ind_020.jpg,16.0,15.0
0,ind_021.jpg,15.0,14.0
0,ind_022.jpg,18.0,17.0
0,ind_023.jpg,16.0,15.0
0,ind_024.jpg,16.0,15.0
0,ind_025.jpg,15.0,14.0
0,land_026.jpg,16.0,15.0
0,land_027.jpg,20.0,19.0
0,land_028.jpg,18.0,17.0
0,land_029.jpg,14.0,13.0
0,land_030.jpg,15.0,14.0
0,low_031.jpg,10.0,9.0
0,low_032.jpg,14.0,13.0
0,low_033.jpg,16.0,15.0
0,low_034.jpg,12.0,11.0
0,low_035.jpg,13.0,12.0
0,low_036.jpg,13.0,12.0
0,mood_37.jpg,18.0,17.0
0,mood_38.jpg,18.0,17.0
0,mood_39.jpg,15.0,14.0
0,mood_40.jpg,17.0,16.0
0,mood_41.jpg,13.0,12.0
0,mood_42.jpg,18.0,17.0
0,mood_43.jpg,16.0,15.0
0,mood_44.jpg,16.0,15.0
0,mood_45.jpg,16.0,15.0
0,mood_46.jpg,17.0,16.0
0,noi_047.jpg,14.0,13.0
0,noi_048.jpg,13.0,12.0
0,noi_049.jpg,15.0,14.0
0,noi_050.jpg,14.0,13.0
0,noi_051.jpg,13.0,12.0
0,noi_052.jpg,12.0,11.0
0,noi_053.jpg,16.0,15.0
0,outman_054.jpg,14.0,13.0
0,outman_055.jpg,12.0,11.0
0,outman_056.jpg,14.0,13.0
0,outman_057.jpg,14.0,13.0
0,outman_058.jpg,17.0,16.0
0,outman_059.jpg,17.0,16.0
0,outman_060.jpg,13.0,12.0
0,outman_061.jpg,19.0,18.0
0,pat_066.jpg,16.0,15.0
0,pat_067.jpg,13.0,12.0
0,pat_068.jpg,13.0,12.0
0,pat_069.jpg,11.0,10.0
0,pat_070.jpg,11.0,10.0
0,patch_062.jpg,13.0,12.0
0,patch_063.jpg,17.0,16.0
0,patch_064.jpg,15.0,14.0
0,patch_065.jpg,14.0,13.0
0,por_071.jpg,13.0,12.0
0,por_072.jpg,15.0,14.0
0,por_073.jpg,17.0,16.0
0,por_074.jpg,12.0,11.0
0,rand_075.jpg,13.0,12.0
0,rand_076.jpg,17.0,16.0
0,rand_077.jpg,17.0,16.0
0,rand_078.jpg,13.0,12.0
0,rand_079.jpg,18.0,17.0
0,sat_080.jpg,16.0,15.0
0,sat_081.jpg,17.0,16.0
0,sat_082.jpg,16.0,15.0
0,sat_083.jpg,15.0,14.0
0,sat_084.jpg,15.0,14.0
0,sat_085.jpg,12.0,11.0
0,sat_086.jpg,15.0,14.0
0,sat_087.jpg,12.0,11.0
0,soc_088.jpg,11.0,10.0
0,soc_089.jpg,18.0,17.0
0,soc_090.jpg,17.0,16.0
0,soc_091.jpg,18.0,17.0
